index,airborne delay cost,ground delay cost,transform
"[34, 31, 29, 36, 35, 35, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 28, 26]",2367.8248912026975,152.5,0
"[34, 31, 29, 36, 35, 35, 34, 34, 34, 35, 34, 35, 30, 37, 28, 22, 28, 26]",2367.8248912026975,152.5,1
"[34, 31, 29, 35, 35, 36, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 28, 26]",2367.8248912026975,152.5,1
"[34, 31, 29, 36, 35, 35, 34, 33, 34, 36, 34, 35, 31, 36, 28, 22, 28, 26]",2367.8248912026975,152.5,1
"[34, 31, 28, 36, 36, 35, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 28, 26]",2367.8248912026975,152.5,1
"[34, 31, 28, 37, 35, 35, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 28, 26]",2367.8248912026975,152.5,1
"[34, 31, 28, 37, 35, 35, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 28, 26]",2367.8248912026975,152.5,1
"[33, 31, 30, 36, 35, 35, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 28, 26]",2367.8248912026975,152.5,1
"[34, 31, 28, 36, 36, 35, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 28, 26]",2367.8248912026975,152.5,1
"[34, 31, 28, 37, 35, 35, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 28, 26]",2367.8248912026975,152.5,1
"[34, 31, 29, 35, 36, 35, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 28, 26]",2367.8248912026975,152.5,1
"[34, 31, 29, 36, 35, 35, 34, 34, 33, 35, 35, 35, 31, 36, 28, 22, 28, 26]",2367.8248912026975,152.5,1
